ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,2026-02-24,4.22,4.3,4.21,4.28,4.18,0.1,2.3923,5400877.86,2307072.937
000725.SZ,2026-02-25,4.29,4.39,4.28,4.36,4.28,0.08,1.8692,6011700.62,2607984.135
000725.SZ,2026-02-26,4.38,4.38,4.32,4.33,4.36,-0.03,-0.6881,4600391.97,1998416.917
000725.SZ,2026-02-27,4.33,4.49,4.32,4.48,4.33,0.15,3.4642,10992669.2,4868981.872
000725.SZ,2026-03-02,4.44,4.59,4.43,4.49,4.48,0.01,0.2232,10247287.73,4626565.706
000725.SZ,2026-03-03,4.51,4.53,4.31,4.32,4.49,-0.17,-3.7862,9324251.78,4093258.571
000725.SZ,2026-03-04,4.29,4.38,4.26,4.32,4.32,0.0,0.0,6794714.2,2942662.127
000725.SZ,2026-03-05,4.38,4.53,4.38,4.46,4.32,0.14,3.2407,10403170.51,4660702.099
000725.SZ,2026-03-06,4.42,4.43,4.31,4.37,4.46,-0.09,-2.0179,9379855.04,4085736.971
000725.SZ,2026-03-09,4.31,4.33,4.22,4.31,4.37,-0.06,-1.373,8427997.74,3593024.477
000725.SZ,2026-03-10,4.35,4.39,4.33,4.35,4.31,0.04,0.9281,5721243.1,2494726.351
000725.SZ,2026-03-11,4.34,4.4,4.33,4.39,4.35,0.04,0.9195,5817267.39,2542860.609
000725.SZ,2026-03-12,4.4,4.47,4.38,4.42,4.39,0.03,0.6834,7535263.71,3332652.943
000725.SZ,2026-03-13,4.4,4.45,4.35,4.36,4.42,-0.06,-1.3575,5289827.69,2328660.718
000725.SZ,2026-03-16,4.34,4.34,4.2,4.23,4.36,-0.13,-2.9817,9061153.01,3842349.74
000725.SZ,2026-03-17,4.25,4.27,4.18,4.18,4.23,-0.05,-1.182,5143566.08,2171472.099
000725.SZ,2026-03-18,4.23,4.23,4.15,4.2,4.18,0.02,0.4785,5050720.77,2111466.286
000725.SZ,2026-03-19,4.15,4.16,4.08,4.09,4.2,-0.11,-2.619,5203475.25,2139925.058
000725.SZ,2026-03-20,4.11,4.15,4.07,4.08,4.09,-0.01,-0.2445,4842912.17,1993635.25
000725.SZ,2026-03-23,4.01,4.02,3.85,3.87,4.08,-0.21,-5.1471,9139186.96,3584773.807
000725.SZ,2026-03-24,3.92,4.0,3.9,4.0,3.87,0.13,3.3592,5840203.78,2302680.815
000725.SZ,2026-03-25,4.03,4.04,3.98,3.99,4.0,-0.01,-0.25,4393007.14,1760085.995
000725.SZ,2026-03-26,3.99,4.01,3.93,3.94,3.99,-0.05,-1.2531,3942963.09,1562818.115
000725.SZ,2026-03-27,3.91,3.97,3.9,3.95,3.94,0.01,0.2538,3566304.61,1408695.311
000725.SZ,2026-03-30,3.91,3.95,3.89,3.94,3.95,-0.01,-0.2532,3567123.42,1399472.627
000725.SZ,2026-03-31,3.93,3.97,3.9,3.91,3.94,-0.03,-0.7614,3892818.16,1532613.174
000725.SZ,2026-04-01,4.01,4.06,3.97,4.01,3.91,0.1,2.5575,5831403.9,2340737.07
000725.SZ,2026-04-02,4.01,4.01,3.93,3.95,4.01,-0.06,-1.4963,3903944.85,1548237.928
000725.SZ,2026-04-03,3.96,3.97,3.92,3.93,3.95,-0.02,-0.5063,2770513.91,1090994.954
000725.SZ,2026-04-07,3.95,3.95,3.89,3.91,3.93,-0.02,-0.5089,3465296.02,1357383.44
000725.SZ,2026-04-08,3.98,4.04,3.95,4.03,3.91,0.12,3.0691,5790904.52,2313171.005
000725.SZ,2026-04-09,3.99,4.03,3.97,4.01,4.03,-0.02,-0.4963,4182505.87,1674086.171
000725.SZ,2026-04-10,4.05,4.08,4.03,4.04,4.01,0.03,0.7481,4622697.81,1874658.593
000725.SZ,2026-04-13,4.01,4.04,3.99,4.03,4.04,-0.01,-0.2475,4046436.36,1627020.594
000725.SZ,2026-04-14,4.05,4.08,3.99,4.02,4.03,-0.01,-0.2481,4426940.75,1780807.989
000725.SZ,2026-04-15,4.04,4.06,4.0,4.0,4.02,-0.02,-0.4975,5348927.54,2154823.755
000725.SZ,2026-04-16,4.01,4.04,3.98,4.03,4.0,0.03,0.75,4154284.81,1663886.88
000725.SZ,2026-04-17,4.01,4.04,4.0,4.02,4.03,-0.01,-0.2481,3098676.54,1245028.832
000725.SZ,2026-04-20,4.06,4.24,4.05,4.19,4.02,0.17,4.2289,11904594.49,4939630.314
000725.SZ,2026-04-21,4.19,4.34,4.14,4.22,4.19,0.03,0.716,11348023.66,4785754.663
000725.SZ,2026-04-22,4.2,4.28,4.2,4.27,4.22,0.05,1.1848,6812882.43,2896227.718
000725.SZ,2026-04-23,4.26,4.29,4.17,4.19,4.27,-0.08,-1.8735,6914901.45,2915342.391
000725.SZ,2026-04-24,4.17,4.19,4.11,4.13,4.19,-0.06,-1.432,4600997.83,1905351.533
000725.SZ,2026-04-27,4.15,4.22,4.13,4.21,4.13,0.08,1.937,4824065.9,2018714.636
000725.SZ,2026-04-28,4.2,4.21,4.14,4.15,4.21,-0.06,-1.4252,3954386.34,1647186.381
000725.SZ,2026-04-29,4.14,4.18,4.12,4.17,4.15,0.02,0.4819,4140091.11,1719219.083
000725.SZ,2026-04-30,4.13,4.18,4.08,4.08,4.17,-0.09,-2.1583,7454049.05,3060106.52
000725.SZ,2026-05-06,4.11,4.22,4.09,4.18,4.08,0.1,2.451,8280384.8,3436739.694
000725.SZ,2026-05-07,4.2,4.25,4.16,4.21,4.18,0.03,0.7177,6650425.71,2796958.858
000725.SZ,2026-05-08,4.19,4.19,4.12,4.17,4.21,-0.04,-0.9501,6379056.58,2646109.505
000725.SZ,2026-05-11,4.17,4.23,4.16,4.19,4.17,0.02,0.4796,6100839.81,2556271.292
000725.SZ,2026-05-12,4.19,4.23,4.14,4.17,4.19,-0.02,-0.4773,6185212.96,2590545.784
000725.SZ,2026-05-13,4.17,4.23,4.15,4.23,4.17,0.06,1.4388,6382205.86,2678779.218
000725.SZ,2026-05-14,4.28,4.33,4.2,4.22,4.23,-0.01,-0.2364,8761121.34,3732635.812
000725.SZ,2026-05-15,4.22,4.24,4.12,4.14,4.22,-0.08,-1.8957,8215945.31,3418420.93
000725.SZ,2026-05-18,4.12,4.23,4.08,4.21,4.14,0.07,1.6908,8399587.01,3511996.412
000725.SZ,2026-05-19,4.2,4.32,4.17,4.31,4.21,0.1,2.3753,8801051.22,3740643.042
000725.SZ,2026-05-20,4.29,4.31,4.24,4.26,4.31,-0.05,-1.1601,5717787.43,2440830.457
000725.SZ,2026-05-21,4.69,4.69,4.69,4.69,4.26,0.43,10.0939,10360099.56,4858886.694
